iter	Passed	Remaining
0	65	32602
1	77	19174
2	86	14402
3	101	12527
4	111	10994
5	121	9964
6	131	9244
7	142	8761
8	153	8350
9	156	7691
10	166	7422
11	179	7284
12	192	7207
13	202	7015
14	214	6921
15	224	6780
16	233	6648
17	243	6528
18	253	6424
19	263	6330
20	274	6250
21	284	6173
22	294	6104
23	304	6044
24	314	5982
25	324	5922
26	335	5880
27	347	5850
28	357	5800
29	366	5747
30	376	5692
31	385	5643
32	395	5601
33	405	5558
34	414	5511
35	424	5471
36	434	5440
37	444	5407
38	454	5377
39	465	5349
40	475	5319
41	484	5288
42	494	5256
43	504	5230
44	514	5200
45	524	5171
46	533	5143
47	543	5122
48	554	5105
49	564	5083
50	575	5068
51	588	5070
52	601	5070
53	616	5091
54	635	5142
55	652	5171
56	663	5160
57	674	5136
58	685	5121
59	695	5097
60	705	5073
61	715	5054
62	725	5030
63	735	5007
64	745	4986
65	754	4964
66	764	4941
67	774	4919
68	783	4894
69	794	4877
70	803	4855
71	813	4838
72	824	4820
73	834	4803
74	845	4790
75	855	4770
76	865	4752
77	876	4739
78	889	4738
79	902	4738
80	917	4745
81	927	4729
82	937	4711
83	947	4694
84	958	4677
85	968	4663
86	978	4646
87	988	4629
88	998	4611
89	1008	4593
90	1017	4574
91	1027	4556
92	1036	4537
93	1046	4521
94	1056	4505
95	1066	4490
96	1077	4477
97	1087	4461
98	1097	4445
99	1108	4432
100	1120	4425
101	1130	4411
102	1142	4404
103	1155	4398
104	1165	4385
105	1178	4381
106	1189	4367
107	1199	4352
108	1209	4339
109	1219	4323
110	1229	4307
111	1238	4290
112	1248	4277
113	1258	4261
114	1268	4246
115	1277	4230
116	1287	4215
117	1297	4200
118	1307	4185
119	1317	4171
120	1326	4156
121	1337	4143
122	1346	4128
123	1356	4113
124	1366	4099
125	1376	4085
126	1387	4076
127	1397	4061
128	1406	4046
129	1416	4031
130	1426	4017
131	1435	4002
132	1446	3990
133	1456	3977
134	1466	3964
135	1476	3951
136	1486	3938
137	1495	3924
138	1505	3911
139	1515	3896
140	1525	3884
141	1535	3870
142	1545	3857
143	1554	3843
144	1564	3830
145	1574	3817
146	1584	3805
147	1594	3792
148	1604	3778
149	1615	3768
150	1626	3758
151	1637	3749
152	1650	3742
153	1660	3731
154	1673	3723
155	1682	3711
156	1692	3697
157	1702	3685
158	1712	3673
159	1722	3659
160	1731	3646
161	1741	3633
162	1751	3620
163	1761	3608
164	1766	3587
165	1776	3574
166	1786	3561
167	1796	3549
168	1806	3538
169	1816	3526
170	1828	3518
171	1846	3521
172	1859	3515
173	1883	3528
174	1892	3514
175	1905	3507
176	1918	3500
177	1928	3488
178	1938	3476
179	1949	3464
180	1959	3453
181	1969	3441
182	1979	3429
183	1989	3416
184	1999	3405
185	2009	3393
186	2019	3380
187	2030	3368
188	2040	3358
189	2050	3345
190	2060	3333
191	2071	3322
192	2080	3310
193	2091	3298
194	2101	3286
195	2112	3277
196	2122	3265
197	2135	3257
198	2147	3248
199	2160	3240
200	2170	3229
201	2180	3217
202	2191	3205
203	2201	3193
204	2210	3181
205	2220	3168
206	2230	3157
207	2240	3145
208	2250	3133
209	2260	3121
210	2270	3109
211	2279	3097
212	2289	3085
213	2300	3074
214	2309	3061
215	2320	3050
216	2331	3040
217	2341	3028
218	2351	3017
219	2361	3005
220	2372	2994
221	2383	2984
222	2393	2973
223	2403	2961
224	2413	2949
225	2423	2938
226	2433	2926
227	2443	2915
228	2454	2904
229	2463	2892
230	2473	2880
231	2483	2868
232	2492	2856
233	2503	2845
234	2518	2840
235	2537	2838
236	2559	2840
237	2583	2844
238	2607	2847
239	2638	2858
240	2665	2864
241	2684	2862
242	2699	2855
243	2713	2846
244	2726	2838
245	2749	2838
246	2768	2835
247	2787	2832
248	2802	2824
249	2819	2819
250	2830	2807
251	2840	2795
252	2851	2783
253	2863	2772
254	2885	2772
255	2900	2764
256	2911	2753
257	2921	2740
258	2932	2728
259	2943	2716
260	2953	2704
261	2963	2691
262	2973	2679
263	2983	2667
264	2993	2655
265	3003	2642
266	3013	2629
267	3023	2617
268	3036	2607
269	3057	2604
270	3083	2605
271	3094	2594
272	3104	2581
273	3123	2576
274	3138	2568
275	3149	2556
276	3163	2546
277	3173	2534
278	3183	2521
279	3193	2508
280	3202	2496
281	3213	2484
282	3223	2472
283	3234	2459
284	3244	2447
285	3254	2434
286	3263	2422
287	3274	2410
288	3283	2397
289	3293	2384
290	3302	2372
291	3312	2359
292	3322	2347
293	3332	2334
294	3342	2322
295	3352	2310
296	3362	2298
297	3374	2287
298	3385	2275
299	3395	2263
300	3405	2251
301	3415	2239
302	3425	2227
303	3448	2223
304	3470	2219
305	3488	2211
306	3506	2204
307	3516	2192
308	3527	2180
309	3537	2168
310	3549	2156
311	3558	2144
312	3569	2132
313	3579	2120
314	3589	2108
315	3601	2097
316	3614	2086
317	3625	2074
318	3637	2064
319	3648	2052
320	3658	2040
321	3668	2028
322	3679	2016
323	3688	2003
324	3698	1991
325	3708	1979
326	3718	1967
327	3728	1955
328	3738	1943
329	3749	1931
330	3759	1919
331	3768	1907
332	3779	1895
333	3788	1883
334	3799	1871
335	3808	1859
336	3818	1847
337	3829	1835
338	3841	1824
339	3853	1813
340	3877	1808
341	3890	1797
342	3910	1790
343	3927	1781
344	3937	1769
345	3947	1756
346	3957	1744
347	3966	1732
348	3976	1720
349	3987	1708
350	3997	1696
351	4007	1684
352	4017	1673
353	4027	1661
354	4037	1649
355	4047	1637
356	4057	1625
357	4069	1614
358	4079	1602
359	4089	1590
360	4104	1580
361	4116	1569
362	4128	1558
363	4138	1546
364	4148	1534
365	4158	1522
366	4168	1510
367	4178	1498
368	4188	1486
369	4198	1475
370	4208	1463
371	4217	1451
372	4229	1439
373	4239	1428
374	4249	1416
375	4260	1404
376	4270	1393
377	4280	1381
378	4290	1369
379	4300	1358
380	4310	1346
381	4320	1334
382	4330	1322
383	4341	1311
384	4353	1300
385	4363	1288
386	4373	1277
387	4383	1265
388	4394	1253
389	4404	1242
390	4414	1230
391	4424	1218
392	4435	1207
393	4445	1196
394	4455	1184
395	4465	1172
396	4477	1161
397	4487	1150
398	4498	1138
399	4508	1127
400	4518	1115
401	4527	1103
402	4537	1092
403	4547	1080
404	4556	1068
405	4568	1057
406	4578	1046
407	4588	1034
408	4602	1024
409	4612	1012
410	4624	1001
411	4634	989
412	4644	978
413	4654	966
414	4665	955
415	4676	944
416	4686	932
417	4697	921
418	4707	910
419	4717	898
420	4728	887
421	4738	875
422	4748	864
423	4758	852
424	4769	841
425	4779	830
426	4789	818
427	4799	807
428	4809	795
429	4819	784
430	4829	773
431	4842	762
432	4856	751
433	4869	740
434	4879	729
435	4890	717
436	4900	706
437	4910	695
438	4919	683
439	4929	672
440	4939	660
441	4949	649
442	4959	638
443	4969	626
444	4980	615
445	4991	604
446	5001	592
447	5010	581
448	5020	570
449	5031	559
450	5041	547
451	5052	536
452	5065	525
453	5075	514
454	5090	503
455	5100	492
456	5113	481
457	5123	469
458	5133	458
459	5143	447
460	5153	435
461	5163	424
462	5172	413
463	5182	402
464	5192	390
465	5202	379
466	5212	368
467	5221	357
468	5231	345
469	5241	334
470	5252	323
471	5262	312
472	5272	300
473	5282	289
474	5293	278
475	5303	267
476	5312	256
477	5322	244
478	5332	233
479	5343	222
480	5353	211
481	5363	200
482	5375	189
483	5385	178
484	5396	166
485	5408	155
486	5418	144
487	5428	133
488	5437	122
489	5448	111
490	5458	100
491	5469	88
492	5479	77
493	5489	66
494	5498	55
495	5508	44
496	5518	33
497	5537	22
498	5557	11
499	5570	0
