iter	RMSE
0	3401.198327
1	3246.157125
2	3098.605916
3	2959.065233
4	2825.133113
5	2698.095586
6	2574.554323
7	2460.645323
8	2349.667048
9	2247.505813
10	2147.369745
11	2052.472874
12	1962.87144
13	1876.579405
14	1796.739035
15	1717.921763
16	1648.491988
17	1580.093812
18	1513.065012
19	1451.029413
20	1391.421775
21	1336.205813
22	1283.170184
23	1232.935951
24	1186.312663
25	1142.902632
26	1100.773884
27	1061.310907
28	1025.657948
29	991.2430503
30	957.017817
31	925.0519525
32	895.7649638
33	866.9430891
34	840.1366752
35	815.6498012
36	792.5170513
37	770.5609543
38	750.8037354
39	730.7163687
40	712.4090842
41	695.4295732
42	678.4906596
43	663.2719787
44	648.8728385
45	636.0867237
46	624.293857
47	613.1545959
48	600.4017093
49	589.2749713
50	579.7630337
51	571.3772009
52	562.8930134
53	554.4734085
54	546.7140313
55	539.7418973
56	532.4918128
57	524.9217797
58	517.9519014
59	512.523588
60	507.2975559
61	502.2199732
62	497.4987611
63	493.0224571
64	488.0005431
65	484.0934506
66	480.4080472
67	476.8732136
68	473.1587906
69	469.6143805
70	465.4448162
71	462.1928367
72	459.4039772
73	456.1412336
74	453.911743
75	451.9819839
76	449.3597419
77	447.4952707
78	444.9986116
79	442.869145
80	441.0315164
81	439.0464652
82	436.6672748
83	434.8464729
84	433.4221837
85	431.965538
86	429.7812258
87	427.5539606
88	425.932451
89	424.7183725
90	423.5198264
91	421.6455828
92	420.1764104
93	419.1131194
94	417.8913391
95	416.120729
96	415.0386238
97	413.2916076
98	412.0083077
99	410.8561242
100	409.3699504
101	407.9192009
102	406.5990818
103	405.511213
104	404.5738527
105	403.7012895
106	402.6198688
107	401.7278568
108	400.7972525
109	399.9259577
110	399.2882929
111	398.5062567
112	397.5845915
113	396.8503326
114	395.5960503
115	395.002303
116	394.4009673
117	393.2220346
118	392.5772238
119	391.6999791
120	390.7974206
121	389.8579036
122	389.2739256
123	388.7585711
124	388.0575367
125	387.3063049
126	386.4425386
127	385.5546182
128	384.8811786
129	384.3810661
130	383.6774407
131	382.9052542
132	382.4633791
133	382.0091433
134	381.4663989
135	380.5254629
136	379.5078742
137	379.1158943
138	378.4486457
139	378.1283071
140	377.6542477
141	377.1605412
142	376.5241134
143	376.2976075
144	375.9039361
145	375.5881888
146	375.0810362
147	374.2293023
148	373.8455782
149	373.4703935
150	372.8227506
151	372.342789
152	371.8014329
153	371.1695014
154	370.4847308
155	370.1598594
156	369.845664
157	369.1498469
158	368.7012502
159	368.3434963
160	367.7365735
161	367.1868822
162	366.5998634
163	366.0722196
164	365.5498247
165	365.2399623
166	364.8712343
167	364.1971158
168	363.691237
169	363.3222216
170	362.7738681
171	362.187482
172	361.7955618
173	361.4941524
174	360.9921984
175	360.6379925
176	360.2096884
177	359.9830185
178	359.4292306
179	359.1549842
180	358.7688786
181	358.3808084
182	358.0467317
183	357.7093136
184	357.3481621
185	356.9572682
186	356.6215264
187	356.1413873
188	355.7741044
189	355.1898954
190	354.8810083
191	354.6764649
192	354.3152583
193	353.9491979
194	353.3893994
195	352.9937378
196	352.666704
197	352.3402708
198	352.0292498
199	351.7964807
200	351.2120784
201	350.7156747
202	350.5283992
203	350.1747779
204	349.8636257
205	349.6219853
206	349.4329712
207	349.1112495
208	348.7679358
209	348.2694243
210	347.8906699
211	347.6157959
212	347.0761897
213	346.7193225
214	346.2927877
215	346.0260142
216	345.7131237
217	345.0733279
218	344.8951768
219	344.5774849
220	344.2463415
221	344.0504392
222	343.6668284
223	343.3107326
224	342.8667014
225	342.4804572
226	342.2288159
227	341.7625483
228	341.3837616
229	340.9347159
230	340.6007536
231	340.4434011
232	340.2478713
233	339.5759462
234	339.4188913
235	339.0594148
236	338.6076324
237	338.3010919
238	338.1556141
239	337.9914049
240	337.694713
241	337.2676029
242	336.8418013
243	336.5021656
244	336.1811732
245	335.8238946
246	335.5379327
247	335.2904191
248	335.1520196
249	334.8277492
250	334.6284655
251	334.4975552
252	334.1463192
253	333.8697089
254	333.5043526
255	333.3130552
256	332.9621691
257	332.8205631
258	332.7220052
259	332.5122186
260	332.32491
261	332.198587
262	331.9971918
263	331.752399
264	331.6284636
265	331.2168218
266	330.8226575
267	330.7125978
268	330.3335683
269	329.9874366
270	329.7741618
271	329.5592377
272	329.2040806
273	328.9416347
274	328.5705726
275	328.3853774
276	328.2704567
277	328.1283995
278	328.0431475
279	327.9281258
280	327.6596739
281	327.4070644
282	327.2224373
283	326.8523386
284	326.4673526
285	326.0891872
286	325.8726183
287	325.6507353
288	325.3369264
289	325.0898886
