iter	Passed	Remaining
0	74	37251
1	88	21914
2	100	16673
3	112	13991
4	126	12551
5	139	11492
6	153	10817
7	167	10304
8	181	9878
9	193	9479
10	205	9118
11	217	8831
12	228	8552
13	239	8323
14	252	8150
15	265	8024
16	276	7862
17	288	7713
18	299	7587
19	311	7478
20	323	7389
21	335	7292
22	347	7201
23	358	7117
24	370	7037
25	383	6984
26	395	6926
27	410	6916
28	421	6851
29	435	6826
30	447	6769
31	465	6809
32	497	7043
33	529	7258
34	556	7398
35	568	7326
36	579	7256
37	591	7186
38	602	7125
39	614	7064
40	626	7008
41	640	6982
42	652	6934
43	667	6920
44	680	6881
45	692	6834
46	704	6788
47	717	6754
48	728	6708
49	740	6667
50	752	6623
51	764	6583
52	775	6541
53	787	6500
54	803	6499
55	815	6463
56	827	6430
57	841	6409
58	852	6371
59	872	6396
60	886	6381
61	898	6345
62	910	6318
63	937	6383
64	980	6561
65	1012	6656
66	1040	6724
67	1070	6803
68	1098	6861
69	1121	6890
70	1145	6920
71	1178	7002
72	1203	7041
73	1223	7043
74	1244	7054
75	1262	7041
76	1286	7068
77	1298	7023
78	1315	7012
79	1344	7058
80	1364	7059
81	1382	7045
82	1398	7025
83	1412	6997
84	1426	6964
85	1448	6974
86	1459	6930
87	1471	6887
88	1483	6850
89	1494	6809
90	1506	6769
91	1516	6726
92	1528	6687
93	1541	6659
94	1553	6622
95	1568	6600
96	1587	6596
97	1599	6562
98	1612	6532
99	1626	6504
100	1637	6468
101	1655	6458
102	1669	6433
103	1682	6405
104	1693	6371
105	1705	6339
106	1716	6304
107	1727	6270
108	1738	6237
109	1752	6212
110	1762	6178
111	1773	6143
112	1784	6111
113	1796	6082
114	1808	6053
115	1819	6023
116	1832	5998
117	1843	5969
118	1854	5937
119	1865	5906
120	1876	5877
121	1887	5848
122	1898	5818
123	1909	5791
124	1922	5767
125	1935	5744
126	1948	5722
127	1959	5695
128	1971	5669
129	1982	5643
130	1993	5615
131	2004	5588
132	2015	5562
133	2026	5534
134	2039	5514
135	2055	5502
136	2068	5479
137	2079	5455
138	2091	5431
139	2102	5406
140	2113	5381
141	2126	5360
142	2140	5342
143	2153	5323
144	2164	5298
145	2175	5274
146	2186	5251
147	2198	5228
148	2209	5205
149	2221	5182
150	2233	5161
151	2244	5139
152	2255	5115
153	2266	5092
154	2278	5070
155	2288	5046
156	2299	5024
157	2311	5002
158	2322	4981
159	2335	4961
160	2346	4941
161	2358	4920
162	2369	4899
163	2381	4878
164	2392	4856
165	2403	4835
166	2414	4815
167	2426	4794
168	2437	4775
169	2449	4755
170	2461	4735
171	2472	4715
172	2483	4694
173	2495	4674
174	2507	4656
175	2519	4637
176	2530	4618
177	2542	4599
178	2553	4579
179	2565	4560
180	2576	4541
181	2588	4522
182	2602	4508
183	2614	4489
184	2626	4471
185	2637	4453
186	2649	4433
187	2660	4414
188	2671	4396
189	2683	4378
190	2695	4360
191	2706	4341
192	2718	4323
193	2729	4305
194	2740	4287
195	2752	4269
196	2764	4252
197	2776	4234
198	2787	4216
199	2798	4198
200	2810	4180
201	2820	4161
202	2832	4143
203	2842	4124
204	2854	4108
205	2866	4091
206	2878	4074
207	2889	4056
208	2901	4039
209	2912	4022
210	2924	4005
211	2936	3988
212	2947	3971
213	2958	3953
214	2969	3936
215	2981	3919
216	2992	3903
217	3004	3886
218	3022	3877
219	3033	3861
220	3045	3844
221	3056	3827
222	3074	3818
223	3098	3818
224	3119	3812
225	3143	3811
226	3163	3804
227	3174	3787
228	3186	3770
229	3197	3753
230	3208	3736
231	3219	3719
232	3230	3702
233	3242	3685
234	3253	3669
235	3265	3652
236	3276	3635
237	3288	3620
238	3300	3603
239	3311	3587
240	3323	3571
241	3334	3554
242	3345	3538
243	3357	3522
244	3369	3506
245	3380	3490
246	3391	3474
247	3403	3458
248	3416	3443
249	3429	3429
250	3440	3413
251	3458	3403
252	3474	3392
253	3486	3376
254	3499	3362
255	3517	3352
256	3535	3342
257	3546	3326
258	3558	3311
259	3569	3295
260	3582	3280
261	3593	3264
262	3609	3252
263	3621	3237
264	3635	3224
265	3647	3208
266	3659	3193
267	3671	3178
268	3682	3162
269	3697	3150
270	3709	3134
271	3720	3118
272	3732	3103
273	3744	3088
274	3755	3073
275	3767	3057
276	3779	3042
277	3789	3026
278	3801	3010
279	3812	2995
280	3824	2980
281	3835	2965
282	3846	2949
283	3858	2934
284	3870	2919
285	3881	2904
286	3894	2890
287	3905	2874
288	3918	2861
289	3931	2846
290	3942	2831
291	3953	2816
292	3965	2801
293	3976	2786
294	3988	2771
295	4006	2760
296	4026	2752
297	4043	2740
298	4056	2727
299	4073	2715
300	4098	2709
301	4121	2701
302	4144	2694
303	4156	2680
304	4168	2665
305	4179	2649
306	4191	2634
307	4202	2619
308	4214	2604
309	4225	2589
310	4237	2575
311	4250	2560
312	4261	2546
313	4272	2530
314	4284	2516
315	4295	2500
316	4306	2486
317	4320	2472
318	4331	2457
319	4342	2442
320	4362	2432
321	4384	2423
322	4396	2408
323	4407	2394
324	4420	2380
325	4431	2365
326	4442	2350
327	4453	2335
328	4468	2322
329	4489	2312
330	4506	2300
331	4530	2292
332	4556	2285
333	4577	2274
334	4601	2266
335	4621	2255
336	4632	2240
337	4651	2229
338	4668	2217
339	4679	2202
340	4690	2186
341	4702	2172
342	4713	2157
343	4725	2142
344	4735	2127
345	4747	2113
346	4763	2100
347	4774	2085
348	4785	2070
349	4797	2056
350	4809	2041
351	4820	2026
352	4832	2012
353	4845	1998
354	4858	1984
355	4873	1971
356	4885	1956
357	4896	1942
358	4907	1927
359	4919	1913
360	4932	1899
361	4944	1884
362	4955	1870
363	4966	1855
364	4977	1841
365	4989	1826
366	5006	1814
367	5019	1800
368	5029	1785
369	5042	1771
370	5054	1757
371	5066	1743
372	5078	1728
373	5091	1715
374	5102	1700
375	5116	1687
376	5127	1673
377	5142	1659
378	5154	1645
379	5166	1631
380	5177	1617
381	5188	1602
382	5199	1588
383	5211	1574
384	5222	1559
385	5234	1545
386	5245	1531
387	5256	1517
388	5268	1503
389	5283	1490
390	5307	1479
391	5325	1467
392	5351	1457
393	5378	1446
394	5390	1432
395	5402	1418
396	5414	1404
397	5425	1390
398	5436	1376
399	5448	1362
400	5459	1347
401	5470	1333
402	5480	1319
403	5491	1305
404	5503	1290
405	5514	1276
406	5525	1262
407	5537	1248
408	5549	1234
409	5561	1220
410	5572	1206
411	5585	1192
412	5597	1179
413	5611	1165
414	5624	1151
415	5637	1138
416	5649	1124
417	5660	1110
418	5672	1096
419	5684	1082
420	5695	1068
421	5707	1054
422	5718	1040
423	5730	1027
424	5741	1013
425	5753	999
426	5768	986
427	5781	972
428	5793	958
429	5810	945
430	5823	932
431	5835	918
432	5846	904
433	5857	890
434	5868	876
435	5880	863
436	5892	849
437	5911	836
438	5931	824
439	5947	810
440	5958	797
441	5970	783
442	5987	770
443	5999	756
444	6011	742
445	6022	729
446	6034	715
447	6046	701
448	6058	688
449	6072	674
450	6083	660
451	6097	647
452	6109	633
453	6120	620
454	6132	606
455	6144	592
456	6155	579
457	6166	565
458	6178	551
459	6189	538
460	6200	524
461	6212	510
462	6223	497
463	6235	483
464	6248	470
465	6261	456
466	6279	443
467	6292	430
468	6304	416
469	6316	403
470	6327	389
471	6339	376
472	6351	362
473	6362	349
474	6375	335
475	6388	322
476	6399	308
477	6410	295
478	6422	281
479	6434	268
480	6445	254
481	6456	241
482	6467	227
483	6481	214
484	6493	200
485	6504	187
486	6515	173
487	6527	160
488	6537	147
489	6549	133
490	6562	120
491	6574	106
492	6587	93
493	6600	80
494	6614	66
495	6625	53
496	6636	40
497	6648	26
498	6658	13
499	6670	0
