Dataset,Model,MAE,RMSE,R2,MAPE
consumption,LightGBM,1441.461858528248,1887.1864947710824,0.9582607893349223,2.699353840748097
consumption,XGBoost,1546.2551649305556,2058.9687228923467,0.9503162816925051,2.9256978325966947
solar,XGBoost,890.60152214898,1194.5584316567836,0.8363586776564043,12.489433393482189
solar,LightGBM,889.4714681823633,1207.0542483649065,0.8329171933118444,12.271483749769784
price_day_ahead,XGBoost,28.233297751784328,52.936203089231526,0.6798625180453004,245.76221411196255
price_day_ahead,LightGBM,32.62665600431453,58.38674714549832,0.6105430038034717,356.7034337377712
wind_onshore,XGBoost,1036.5720396253798,1273.1076535348066,0.5366312680227421,97.26153377664859
wind_onshore,LightGBM,1160.035849148142,1412.41482672908,0.42967684771743564,127.51413982382742
wind_offshore,XGBoost,2078.272815842761,2097.5391695373532,0.0,
wind_offshore,LightGBM,2041.5384657644342,2059.3221189924902,0.0,
