Dataset,Model,MAE,RMSE,R2,MAPE
wind_offshore,XGBoost,16.311901382599533,37.84917489223752,0.9963837265142226,0.5103421962101288
wind_offshore,LightGBM,17.26103681331016,39.166171047749174,0.9961276851030312,0.5324279142795639
consumption,XGBoost,484.18762329626975,620.4421302244282,0.9955684182383571,0.8435493296890549
consumption,LightGBM,479.86172954715005,634.6243065091596,0.9953635069891758,0.8409558274827278
solar,XGBoost,254.81827215690012,372.13884470529683,0.98016785889861,3.917941461522805
solar,LightGBM,254.9558645099667,378.0063409920685,0.9795375437520402,3.9280898674091325
wind_onshore,XGBoost,252.07153136418916,339.65414006906013,0.9686989001977844,11.572491082828128
wind_onshore,LightGBM,256.95751593679336,342.57688516554856,0.9681578866032005,11.974396860033185
price_day_ahead,XGBoost,7.25194689173588,10.446263496886502,0.951941847304024,622.8162201400864
price_day_ahead,LightGBM,7.343060107336621,10.559027036941957,0.9508987075066653,615.7258485131413
