,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
Deep Learning - BiLSTM,0.0670132566437663,0.1019289992584789,60.94963013268927,21.62874410518477,0.983431175562262,0.8218227461848704
Deep Learning - GRU,0.0678934312817632,0.1040601743322011,59.822412794155966,22.739507229668327,0.9827310761729398,0.8326168423734214
Deep Learning - LSTM,0.0703295183793232,0.1043786930665429,61.852462241743424,22.3841424504526,0.9826251971654456,0.8624920027331817
ML Trees - LightGBM,246.70160635617924,358.8050759047901,3.371183785981576,3.340844494925185,0.9838151864344434,0.84552360190331
ML Trees - XGBoost,246.2982895684961,359.46082062199224,3.355216724188885,3.322650568637659,0.9837559743170342,0.8441413090675772
ML Trees - Random Forest,244.21299834680065,373.5812273724083,3.3443858881813324,3.320325188622138,0.9824547066507872,0.8369943635294939
ML Trees - CatBoost,263.3906092582707,379.5577962116332,3.585086041629336,3.553747635872105,0.9818888354108783,0.9027220371075716
Statistical - SARIMA,2496.801104322007,3186.0251390213352,44.9356795523584,30.488792100557955,-0.2761124362447333,8.5573186739391
Baseline - Mean,2536.6314181764246,3259.703775558075,46.11529890621946,30.82776294561566,-0.3358165370133832,8.69382962306727
Baseline - Moving Average (168h),2898.025229943792,3296.324613406963,36.24174121148693,36.702462481771406,-0.3659993453828933,9.932439301959851
Baseline - Seasonal Naive (24h),2804.9331246806337,3562.34417989963,48.85376148664094,33.25462397266234,-0.595373223361201,9.61338352719839
Baseline - Drift,2884.565409476489,3739.246871808816,52.98230325454528,33.702838384521385,-0.7577569452851292,9.886308285422995
Baseline - Naive,2996.3615866121613,3915.659296433249,55.4032384003905,34.55754381192433,-0.9275264122899732,10.269468767298012
Advanced - N-BEATS,3382.6891881830784,4263.6013986329845,59.55069277042208,37.55782871156612,-1.2853027203453729,11.593534346033255
Advanced - N-HiTS,4628.955976071053,5363.595102346591,49.313895613458925,66.80871842435138,-2.6166169691183097,15.864880605149798
Statistical - SARIMAX,9960.90432864481,10782.061439526224,146.03848660550065,74.06732852732709,-13.614842824182606,34.1391360622532
Statistical - ETS,911960.36679624,1054191.1140524717,11688.882059988906,199.0709372444101,-139709.5643347483,3125.57354415178
