Category,Model,test_mae,test_rmse,test_mape,test_smape,test_r2,test_mase
Baseline,Naive,0.0,0.0,inf,0.0,1.0,0.0
Baseline,Seasonal Naive (24h),0.0,0.0,inf,0.0,1.0,0.0
Baseline,Moving Average (168h),0.0,0.0,inf,0.0,1.0,0.0
Statistical,SARIMA,0.0,0.0,inf,0.0,1.0,0.0
Deep Learning,LSTM,0.4872174859046936,0.4872174859046936,inf,200.0,0.0,2.005307734709792e-08
Deep Learning,Simple RNN,1.5204203085514065,1.5204203086094847,inf,200.0,0.0,6.257802096504379e-08
ML Trees,Random Forest,15.795978141072743,28.451790625277447,inf,200.0,0.0,6.501367060909672e-07
Deep Learning,GRU,69.59220123291016,69.59220123291016,inf,200.0,0.0,2.8643015377147957e-06
Advanced,N-BEATS,64.44405672115123,81.44776862802674,inf,200.0,0.0,2.6524123032866746e-06
ML Trees,XGBoost,60.876563954431205,106.97080123435055,inf,200.0,0.0,2.5055801175464383e-06
ML Trees,LightGBM,78.95469933138529,141.30092461234057,inf,200.0,0.0,3.2496466945745903e-06
Statistical,ETS,167.00145274718992,190.84120368857117,inf,200.0,0.0,6.87350751132977e-06
Baseline,Drift,286.634400346484,330.94650784766094,inf,200.0,0.0,1.1797404581680885e-05
Advanced,N-HiTS,602.3934609780985,748.8918219561014,inf,200.0,0.0,2.479353269505357e-05
ML Trees,CatBoost,1092.6206861463377,1095.5814807337306,inf,200.0,0.0,4.4970486003077665e-05
Statistical,ARIMA,3051.7738385826774,3051.7738385826765,inf,200.0,0.0,0.00012560603550037491
Baseline,Mean,3051.7738385826774,3051.7738385826765,inf,200.0,0.0,0.00012560603550037491
