feature,importance
rolling_mean_3,0.47285837
rolling_min_3,0.29438227
lag_1,0.11101082
rolling_max_3,0.07870906
lag_2,0.03379588
rolling_mean_6,0.0057724435
rolling_max_6,0.0010427986
diff_1,0.00060392485
rolling_min_6,0.0005411122
rolling_min_12,0.00020918813
diff_24,0.00015880048
rolling_std_3,0.0001237447
diff_168,0.00012190645
lag_168,7.759972e-05
lag_3,7.6943485e-05
dayofyear,5.1093815e-05
ewm_24,4.0555595e-05
rolling_std_12,3.626046e-05
dayofweek,3.5624063e-05
rolling_min_24,3.192517e-05
lag_6,2.9734687e-05
month_sin,2.4807166e-05
month_cos,2.3894327e-05
rolling_max_12,2.2282626e-05
hour,1.9942325e-05
lag_24,1.818442e-05
rolling_max_24,1.7423446e-05
rolling_std_6,1.708083e-05
rolling_min_168,1.6948183e-05
lag_48,1.5676353e-05
rolling_mean_24,1.3620322e-05
rolling_std_168,1.2142332e-05
lag_12,1.100265e-05
hour_cos,9.9967165e-06
rolling_mean_12,9.377106e-06
ewm_12,8.995399e-06
month,8.0688715e-06
rolling_std_24,6.7835663e-06
hour_sin,6.5830422e-06
weekofyear,5.8749065e-06
rolling_mean_168,4.907587e-06
lag_72,4.6626024e-06
quarter,4.2992474e-06
dayofweek_sin,2.6957007e-06
rolling_max_168,2.5805282e-06
dayofweek_cos,2.116339e-06
