feature,importance
lag_24,0.80587834
lag_1,0.100940965
hour,0.058861226
lag_48,0.0069219526
rolling_24_max,0.0054664947
hour_sin,0.004997654
lag_3,0.0035237088
rolling_24_mean,0.0030032143
rolling_24_std,0.0021960253
lag_2,0.0012127666
lag_168,0.0011333316
month_cos,0.0007054787
rolling_std_24,0.0005500451
rolling_168_max,0.0003561874
rolling_mean_24,0.00033516227
dayofyear,0.00033473602
rolling_168_mean,0.0002931591
weekofyear,0.00028066512
rolling_mean_168,0.0002795232
rolling_168_std,0.0002722923
month,0.00025901452
week,0.00025638292
month_sin,0.00021001168
rolling_std_168,0.00020839502
hour_cos,0.00020030385
dayofweek_sin,0.00018561748
year,0.0001806087
rolling_168_min,0.00016230441
rolling_24_min,0.00015771703
is_month_end,0.00015609399
day,0.00015503718
dayofweek,0.00013883378
dayofweek_cos,0.00011668372
is_month_start,7.006829e-05
is_weekend,0.0
quarter,0.0
